TimeGenerated,Id,CorrelationId,Category,OperationName,Result,ResultReason,InitiatedByUser,InitiatedByIpAddress,InitiatedByApp,TargetResourceName,TargetResourceType,TargetUserPrincipalName,ModifiedProperty,OldValue,NewValue
2026-07-26T15:34:51.000Z,0fe840f6-0922-2775-009f-69da1de94935,a34b81c8-da15-3cad-6142-71c12c372111,ApplicationManagement,Update application,success,,marcus.webb@cloudora.io,81.134.22.14,Microsoft 365 Admin Portal,Rachel Nolan,Application,rachel.nolan@cloudora.io,,,
2026-07-26T17:26:47.000Z,7d46237a-1e2d-31d3-d6ba-6db7b3c187aa,c54d78e8-c3bb-a744-17ea-dc4b5dcb35a8,GroupManagement,Add member to group,success,,clara.mendez@cloudora.io,81.134.22.14,Microsoft 365 Admin Portal,Rachel Nolan,Group,rachel.nolan@cloudora.io,,,
2026-07-27T09:13:39.000Z,93455cfe-6278-1d75-4a04-b128263d5063,4878ecd0-8b01-f2fd-8d5a-33e4b4c93abf,UserManagement,Add user,success,,clara.mendez@cloudora.io,81.134.22.14,Microsoft 365 Admin Portal,Rachel Kelly,User,rachel.kelly@cloudora.io,,,
2026-07-27T11:19:12.000Z,c88cfd4b-86c9-ed48-ce52-b3143350b5fa,336feb2c-c781-6266-4873-b72589922463,ApplicationManagement,Update application,success,,marcus.webb@cloudora.io,81.134.22.14,Microsoft 365 Admin Portal,Poppy Trent,Application,poppy.trent@cloudora.io,,,
2026-07-27T11:36:12.000Z,829d0474-400f-c200-ba5d-b90a30daaf3e,4f7d3a2c-f883-e7e7-68b0-0b6db5ba9664,GroupManagement,Remove member from group,success,,marcus.webb@cloudora.io,81.134.22.14,Microsoft 365 Admin Portal,Mia Osborne,Group,mia.osborne@cloudora.io,,,
2026-07-27T11:53:27.000Z,33356cb7-60f9-f5a7-99ff-d58ba1b978c4,e9cfc7ed-8878-44d9-19e6-88f9b33cc2c1,UserManagement,Reset user password,success,,clara.mendez@cloudora.io,81.134.22.14,Microsoft 365 Admin Portal,Verity Doyle,User,verity.doyle@cloudora.io,,,
2026-07-27T13:41:36.000Z,e9c4640b-201d-6291-71ca-52066fdde830,8f88cd15-f6ca-3871-249a-f6e5b7b5a59e,UserManagement,Update user,success,,clara.mendez@cloudora.io,81.134.22.14,Microsoft 365 Admin Portal,Clara Mendez,User,clara.mendez@cloudora.io,,,
2026-07-27T14:15:31.000Z,ab576c54-1f61-1ac8-39d4-32a3f65957d4,090d7993-6c8b-f9c9-9592-78e51efa4059,GroupManagement,Remove member from group,success,,clara.mendez@cloudora.io,81.134.22.14,Microsoft 365 Admin Portal,Heidi Sharma,Group,heidi.sharma@cloudora.io,,,
2026-07-27T14:51:31.000Z,482f6198-9827-f65b-1f7c-5e34335a6238,6c23b4c8-bfc3-a8de-72b1-00dd9b8b7900,DeviceManagement,Update device,success,,clara.mendez@cloudora.io,81.134.22.14,Microsoft 365 Admin Portal,Noah Elliot,Device,noah.elliot@cloudora.io,,,
2026-07-27T16:29:07.000Z,d70762a2-7c2d-06ca-a92e-7631a5a0b00b,24e02c79-6dfd-3e9c-6d55-e90dda345ca0,ApplicationManagement,Update application,success,,clara.mendez@cloudora.io,81.134.22.14,Microsoft 365 Admin Portal,Fiona Trent,Application,fiona.trent@cloudora.io,,,
