TimeGenerated,Id,CorrelationId,UserPrincipalName,UserDisplayName,UserId,AppDisplayName,ClientAppUsed,IPAddress,Location,Country,City,State,AutonomousSystemNumber,NetworkISP,DeviceOS,DeviceBrowser,UserAgent,ResultType,ResultDescription,ConditionalAccessStatus,AuthenticationRequirement,MfaAuthMethod,RiskLevelDuringSignIn,RiskState,RiskEventTypes
2026-07-26T03:45:02.036Z,423d0e97-dca7-fd53-c8f1-8d76ac955523,3511e6cf-4cce-59f4-2d03-6d4b6807aeda,nathan.obi@cloudora.io,Nathan Obi,f8c7c7b1-ab1a-afa8-a234-286d3e03d4c9,Azure Portal,Browser,51.148.63.91,GB,United Kingdom,Manchester,England,2856,British Telecommunications,Windows 11,Chrome 127.0.0,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/127.0.0,0,,success,multiFactorAuthentication,Fido,none,none,
2026-07-26T08:01:55.832Z,7dd0fc7d-527a-b362-660d-b42f7fb8b7cc,c8ae9dad-1e97-0853-9c42-0a6684c0cbe1,nina.bennett@cloudora.io,Nina Bennett,f3ba310a-c4a3-61b8-b5c6-8bb205276022,SharePoint Online,Mobile Apps and Desktop clients,81.134.22.155,GB,United Kingdom,London,England,2856,British Telecommunications,Ios 17.5.1,Mobile Safari,Mozilla/5.0 (iPhone; CPU iPhone OS 17_5_1) Mobile/15E148,0,,success,singleFactorAuthentication,,none,none,
2026-07-26T08:19:55.841Z,6c35b539-5b8f-01f0-8885-00e4bff0f9fc,19a00df3-8eaa-c4c4-939f-f6beb40b326b,ibrahim.nolan@cloudora.io,Ibrahim Nolan,14584eb6-ada6-99b0-a6a2-128c6ad16f4c,Microsoft Teams,Browser,81.134.22.71,GB,United Kingdom,London,England,2856,British Telecommunications,Windows 11,Chrome 127.0.0,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/127.0.0,0,,success,singleFactorAuthentication,,none,none,
2026-07-26T09:06:10.286Z,84950391-bcef-97a2-1e58-d87abd2b202f,7cdb2bc4-0993-4411-499f-5d621d55f603,marcus.webb@cloudora.io,Marcus Webb,eac48058-d162-4e20-4f0d-89581aed2d8a,Microsoft Teams,Browser,81.134.22.62,GB,United Kingdom,London,England,2856,British Telecommunications,MacOs,Safari 17.5,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/17.5,50074,Strong Authentication is required.,success,multiFactorAuthentication,,none,none,
2026-07-26T09:10:54.553Z,384ad74f-4f61-5d44-8294-82829243f85d,14282de8-20bc-5c56-b208-9fe4a0432ff8,femi.hartley@cloudora.io,Femi Hartley,2f544db3-7ccb-60b8-303a-7a5522be6f51,SharePoint Online,Browser,51.148.63.24,GB,United Kingdom,Manchester,England,2856,British Telecommunications,MacOs,Safari 17.5,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/17.5,0,,success,multiFactorAuthentication,PhoneAppOTP,none,none,
2026-07-26T09:26:30.695Z,fdda4868-52d9-c764-78ba-e4bf2335673f,8a0e4b10-86ec-66f2-d74b-9212d81fc143,ibrahim.fraser@cloudora.io,Ibrahim Fraser,675d30d3-6554-d9fc-b93a-2809ed579af7,SharePoint Online,Browser,81.134.22.224,GB,United Kingdom,London,England,2856,British Telecommunications,Windows 11,Edge 126.0.0,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Edge/126.0.0,50126,Error validating credentials due to invalid username or password.,notApplied,singleFactorAuthentication,,none,none,
2026-07-26T09:46:14.556Z,21208789-4c3c-772d-2ac7-855a1b23f691,5ad03bf3-9cc2-946d-6617-2b8004a7dcb4,eoin.lowe@cloudora.io,Eoin Lowe,9b63214d-aa41-6bc6-e373-45c722bb82e4,SharePoint Online,Browser,81.134.22.220,GB,United Kingdom,London,England,2856,British Telecommunications,Windows 10,Edge 126.0.0,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Edge/126.0.0,50126,Error validating credentials due to invalid username or password.,notApplied,singleFactorAuthentication,,none,none,
2026-07-26T10:22:15.502Z,df3c9126-5769-29b7-1801-57b3e5d30b2d,2bbf0977-a13f-adb3-4e7f-a6ea7002eeb7,daniel.reeve@cloudora.io,Daniel Reeve,06375a4e-8d15-6b03-39af-3521ca9ba37a,Office 365 Exchange Online,Mobile Apps and Desktop clients,86.15.108.77,GB,United Kingdom,London,England,5089,Virgin Media,Ios 17.5.1,Mobile Safari,Mozilla/5.0 (iPhone; CPU iPhone OS 17_5_1) Mobile/15E148,0,,success,multiFactorAuthentication,PhoneAppNotification,none,none,
2026-07-26T11:37:55.889Z,2a5be95f-ee10-b622-737a-d0587854816b,1558a4ad-08b8-ffff-7a8b-4bcc2d21a8fe,ibrahim.nolan@cloudora.io,Ibrahim Nolan,14584eb6-ada6-99b0-a6a2-128c6ad16f4c,Office 365 Exchange Online,Browser,81.134.22.71,GB,United Kingdom,London,England,2856,British Telecommunications,Windows 11,Chrome 127.0.0,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/127.0.0,0,,success,multiFactorAuthentication,PhoneAppOTP,none,none,
2026-07-26T12:05:30.273Z,b837104e-34b7-7fcb-576c-34678994f3c0,cde8f91d-6102-9f50-cc9f-77165f69d903,hannah.wren@cloudora.io,Hannah Wren,44a595d6-b19d-29d9-d9b5-532bc31d024c,SharePoint Online,Browser,109.157.44.149,GB,United Kingdom,Edinburgh,Scotland,2856,British Telecommunications,Windows 11,Chrome 127.0.0,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/127.0.0,0,,success,singleFactorAuthentication,,none,none,
